frame_index,frame_name,timestamp_sec,label,source,segment_id,sample_weight,is_boundary
40,frame_000040.jpg,20.0,Cook-Heat,reviewed,0,0.5,True
41,frame_000041.jpg,20.5,Cook-Heat,reviewed,0,0.5,True
42,frame_000042.jpg,21.0,Cook-Heat,reviewed,0,1.0,False
43,frame_000043.jpg,21.5,Cook-Heat,reviewed,0,1.0,False
44,frame_000044.jpg,22.0,Cook-Heat,reviewed,0,1.0,False
45,frame_000045.jpg,22.5,Cook-Heat,reviewed,0,1.0,False
46,frame_000046.jpg,23.0,Cook-Heat,reviewed,0,1.0,False
47,frame_000047.jpg,23.5,Cook-Heat,reviewed,0,1.0,False
48,frame_000048.jpg,24.0,Cook-Heat,reviewed,0,1.0,False
49,frame_000049.jpg,24.5,Cook-Heat,reviewed,0,1.0,False
50,frame_000050.jpg,25.0,Cook-Heat,reviewed,0,1.0,False
51,frame_000051.jpg,25.5,Cook-Heat,reviewed,0,1.0,False
52,frame_000052.jpg,26.0,Cook-Heat,reviewed,0,1.0,False
53,frame_000053.jpg,26.5,Cook-Heat,reviewed,0,1.0,False
54,frame_000054.jpg,27.0,Cook-Heat,reviewed,0,1.0,False
55,frame_000055.jpg,27.5,Cook-Heat,reviewed,0,1.0,False
56,frame_000056.jpg,28.0,Cook-Heat,reviewed,0,1.0,False
57,frame_000057.jpg,28.5,Cook-Heat,reviewed,0,1.0,False
58,frame_000058.jpg,29.0,Cook-Heat,reviewed,0,1.0,False
59,frame_000059.jpg,29.5,Cook-Heat,reviewed,0,1.0,False
60,frame_000060.jpg,30.0,Cook-Heat,reviewed,0,1.0,False
61,frame_000061.jpg,30.5,Cook-Heat,reviewed,0,1.0,False
62,frame_000062.jpg,31.0,Cook-Heat,reviewed,0,1.0,False
63,frame_000063.jpg,31.5,Cook-Heat,reviewed,0,1.0,False
64,frame_000064.jpg,32.0,Cook-Heat,reviewed,0,1.0,False
65,frame_000065.jpg,32.5,Cook-Heat,reviewed,0,1.0,False
66,frame_000066.jpg,33.0,Cook-Heat,reviewed,0,1.0,False
67,frame_000067.jpg,33.5,Cook-Heat,reviewed,0,1.0,False
68,frame_000068.jpg,34.0,Cook-Heat,reviewed,0,1.0,False
69,frame_000069.jpg,34.5,Cook-Heat,reviewed,0,1.0,False
70,frame_000070.jpg,35.0,Cook-Heat,reviewed,0,1.0,False
71,frame_000071.jpg,35.5,Cook-Heat,reviewed,0,1.0,False
72,frame_000072.jpg,36.0,Cook-Heat,reviewed,0,1.0,False
73,frame_000073.jpg,36.5,Cook-Heat,reviewed,0,1.0,False
74,frame_000074.jpg,37.0,Cook-Heat,reviewed,0,1.0,False
75,frame_000075.jpg,37.5,Cook-Heat,reviewed,0,1.0,False
