frame_index,frame_name,timestamp_sec,label,source,segment_id,sample_weight,is_boundary
28,frame_000028.jpg,14.0,Cook-Heat,auto_good,0,0.5,True
29,frame_000029.jpg,14.5,Cook-Heat,auto_good,0,0.5,True
30,frame_000030.jpg,15.0,Cook-Heat,auto_good,0,1.0,False
31,frame_000031.jpg,15.5,Cook-Heat,auto_good,0,1.0,False
32,frame_000032.jpg,16.0,Cook-Heat,auto_good,0,1.0,False
33,frame_000033.jpg,16.5,Cook-Heat,auto_good,0,1.0,False
34,frame_000034.jpg,17.0,Cook-Heat,auto_good,0,0.5,True
35,frame_000035.jpg,17.5,Cook-Heat,auto_good,0,0.5,True
60,frame_000060.jpg,30.0,Mix,auto_good,1,0.5,True
61,frame_000061.jpg,30.5,Mix,auto_good,1,0.5,True
62,frame_000062.jpg,31.0,Mix,auto_good,1,1.0,False
63,frame_000063.jpg,31.5,Mix,auto_good,1,1.0,False
64,frame_000064.jpg,32.0,Mix,auto_good,1,1.0,False
65,frame_000065.jpg,32.5,Mix,auto_good,1,1.0,False
66,frame_000066.jpg,33.0,Mix,auto_good,1,0.5,True
67,frame_000067.jpg,33.5,Mix,auto_good,1,0.5,True
76,frame_000076.jpg,38.0,Season,auto_good,2,0.5,True
77,frame_000077.jpg,38.5,Season,auto_good,2,0.5,True
78,frame_000078.jpg,39.0,Season,auto_good,2,1.0,False
79,frame_000079.jpg,39.5,Season,auto_good,2,1.0,False
80,frame_000080.jpg,40.0,Season,auto_good,2,1.0,False
81,frame_000081.jpg,40.5,Season,auto_good,2,1.0,False
82,frame_000082.jpg,41.0,Season,auto_good,2,0.5,True
83,frame_000083.jpg,41.5,Season,auto_good,2,0.5,True
94,frame_000094.jpg,47.0,Cook-Heat,auto_good,3,0.5,True
95,frame_000095.jpg,47.5,Cook-Heat,auto_good,3,0.5,True
96,frame_000096.jpg,48.0,Cook-Heat,auto_good,3,1.0,False
97,frame_000097.jpg,48.5,Cook-Heat,auto_good,3,1.0,False
98,frame_000098.jpg,49.0,Cook-Heat,auto_good,3,1.0,False
99,frame_000099.jpg,49.5,Cook-Heat,auto_good,3,1.0,False
100,frame_000100.jpg,50.0,Cook-Heat,auto_good,3,1.0,False
101,frame_000101.jpg,50.5,Cook-Heat,auto_good,3,1.0,False
102,frame_000102.jpg,51.0,Cook-Heat,auto_good,3,1.0,False
103,frame_000103.jpg,51.5,Cook-Heat,auto_good,3,1.0,False
104,frame_000104.jpg,52.0,Cook-Heat,auto_good,3,1.0,False
105,frame_000105.jpg,52.5,Cook-Heat,auto_good,3,1.0,False
106,frame_000106.jpg,53.0,Cook-Heat,auto_good,3,1.0,False
107,frame_000107.jpg,53.5,Cook-Heat,auto_good,3,1.0,False
108,frame_000108.jpg,54.0,Cook-Heat,auto_good,3,1.0,False
109,frame_000109.jpg,54.5,Cook-Heat,auto_good,3,1.0,False
110,frame_000110.jpg,55.0,Cook-Heat,auto_good,3,1.0,False
111,frame_000111.jpg,55.5,Cook-Heat,auto_good,3,1.0,False
112,frame_000112.jpg,56.0,Cook-Heat,auto_good,3,0.5,True
113,frame_000113.jpg,56.5,Cook-Heat,auto_good,3,0.5,True
138,frame_000138.jpg,69.0,Cut,auto_weak,4,0.25,True
139,frame_000139.jpg,69.5,Cut,auto_weak,4,0.25,True
140,frame_000140.jpg,70.0,Cut,auto_weak,4,0.5,False
141,frame_000141.jpg,70.5,Cut,auto_weak,4,0.5,False
142,frame_000142.jpg,71.0,Cut,auto_weak,4,0.5,False
143,frame_000143.jpg,71.5,Cut,auto_weak,4,0.5,False
144,frame_000144.jpg,72.0,Cut,auto_weak,4,0.5,False
145,frame_000145.jpg,72.5,Cut,auto_weak,4,0.5,False
146,frame_000146.jpg,73.0,Cut,auto_weak,4,0.5,False
147,frame_000147.jpg,73.5,Cut,auto_weak,4,0.5,False
148,frame_000148.jpg,74.0,Cut,auto_weak,4,0.5,False
149,frame_000149.jpg,74.5,Cut,auto_weak,4,0.5,False
150,frame_000150.jpg,75.0,Cut,auto_weak,4,0.5,False
151,frame_000151.jpg,75.5,Cut,auto_weak,4,0.5,False
152,frame_000152.jpg,76.0,Cut,auto_weak,4,0.5,False
153,frame_000153.jpg,76.5,Cut,auto_weak,4,0.5,False
154,frame_000154.jpg,77.0,Cut,auto_weak,4,0.5,False
155,frame_000155.jpg,77.5,Cut,auto_weak,4,0.5,False
156,frame_000156.jpg,78.0,Cut,auto_weak,4,0.5,False
157,frame_000157.jpg,78.5,Cut,auto_weak,4,0.5,False
158,frame_000158.jpg,79.0,Cut,auto_weak,4,0.25,True
159,frame_000159.jpg,79.5,Cut,auto_weak,4,0.25,True
166,frame_000166.jpg,83.0,Season,auto_good,5,0.5,True
167,frame_000167.jpg,83.5,Season,auto_good,5,0.5,True
168,frame_000168.jpg,84.0,Season,auto_good,5,1.0,False
169,frame_000169.jpg,84.5,Season,auto_good,5,1.0,False
170,frame_000170.jpg,85.0,Season,auto_good,5,0.5,True
171,frame_000171.jpg,85.5,Season,auto_good,5,0.5,True
178,frame_000178.jpg,89.0,Plate,reviewed,6,0.5,True
