video_id,subset,recipe_type,segment_id,segment_start,segment_end,sentence,predicted_label
0H_IfT2sDZ8,training,318,1,50,55,pour the sauce on the ribs,Plate
0H_IfT2sDZ8,training,318,3,111,133,place the ribs on the grill,Cook-Heat
0JPDr8uT8xU,training,313,4,125,135,place the fish over the rice,Plate
0Jkcym1lGBc,training,324,1,13,33,add the udon noodles stir and cook,Cook-Heat
0ShsPjf9shQ,validation,119,0,15,22,add oats and breadcrumbs to ground beef,Mix
0VBNakxmATU,training,112,3,35,40,add the cheese and tomatoes to the pasta,Plate
0VaYabFg-6E,training,222,0,150,180,remove strings from the mussels,Prep
0hVAuvPAIzA,training,301,0,30,53,add sugar rice wine soy sauce salt chili oil chili powder and chicken stock to a bowl,Season
0hVAuvPAIzA,training,301,3,120,139,add chicken salt rice wine soy sauce to a bowl and mix,Mix
0hb6NShH9hY,validation,314,6,179,188,add raw broccoli and shiitake mushrooms to the noodles,Plate
0hb6NShH9hY,validation,314,10,245,249,take out the wrapped ingredients and add boiling water,Prep
0qbCigxf_sc,training,419,0,90,94,add yeast to some warm water,Mix
0qbCigxf_sc,training,419,4,234,256,shape the dough into balls and cover it,Mix
0qbCigxf_sc,training,419,10,400,424,apply butter sprinkle chat masala and cut the naan into pieces,Cut
0qbCigxf_sc,training,419,11,439,491,put the naan on a wire mesh and rotate the mesh over heat,Cook-Heat
1-SJGQ2HLp8,training,205,9,261,280,add grated parmesan and pieces of mozzarella cheese on top,Plate
1-SJGQ2HLp8,training,205,10,283,288,place basil leaves and olive oil on top,Plate
17v08qtr8UM,training,101,4,92,95,place the bacon lettuce and tomato on the bread,Plate
1Vs6LSUz9lA,training,309,3,93,105,place the filling in the center of the wrapper,Plate
1iv2xhPN3vk,validation,216,1,12,15,add chopped white onion to the tray,Mix
1iv2xhPN3vk,validation,216,2,16,19,add a cup of butter to the tray,Mix
1iv2xhPN3vk,validation,216,4,29,36,pour six bottles of beer to the tray,Mix
1mB0G1AwUPg,training,110,0,42,46,put eggs in boiling water,Cook-Heat
1r7N-G4kYG8,training,122,9,279,288,turn off the stove and add the roasted red bell pepper to the pan,Bake
1uoT5TjyWsU,training,113,4,141,154,place a slice of ham sprinkle grated cheese mixture and top it with a bread slice,Plate
1xjsM-I-KLI,training,325,7,319,321,add canned shiitake mushrooms to the soup,Plate
1xjsM-I-KLI,training,325,9,330,340,add some carrot and bamboo shoots and cut tofu to the soup,Mix
2-mxsib6pJo,validation,121,6,155,168,take the bay leaves out,Prep
2-mxsib6pJo,validation,121,8,202,211,add the clams to the soup,Mix
29Wkj1LqaK8,validation,410,7,204,223,roll the chapati together into a circle,Idle
2Q-Nq6kxpfg,training,302,7,99,123,add the mushroom cooked rice and soy sauce,Season
2RW7l4zbS_k,training,308,8,114,119,put some roe on the rolls,Mix
2Rn2tM9Rgg8,training,403,4,209,218,add diced tofu,Mix
2Rn2tM9Rgg8,training,403,6,342,349,add fresh noodles,Mix
2TSFTzB0AyU,training,416,0,25,45,add sabut urad and red kidney beans,Mix
2TSFTzB0AyU,training,416,8,260,263,add fresh cream,Mix
2TSFTzB0AyU,training,416,9,307,315,add tomato puree,Season
2VzLjiTGU9g,training,204,4,90,100,add the meat and brown,Bake
2YkYjleJs-0,training,406,2,124,151,lay down stir fried shrimps cooked rice noodles shredded cucumber and carrots and mint leaves,Plate
2tCWtcoGpCM,training,306,5,110,124,put the shrimp into the oil until it turns golden,Idle
2tCWtcoGpCM,training,306,6,136,152,remove the shrimp and lobster tails from the oil with tongs,Idle
33OD9eIiTPI,training,203,6,180,220,pour some pasta sauce to the meatballs and place the lid on,Plate
3HKIO_gPWQQ,training,225,3,218,224,add pasta to boiling water,Cook-Heat
3HKIO_gPWQQ,training,225,4,252,307,pour the cooked beans on the pasta and mix it together,Mix
3WXM2FAueb8,validation,127,7,173,194,add beef and cheese on top of the beans,Plate
3XKJ07sLiPE,training,416,3,89,97,grind a tomato,Cut
3dUm-m3iFaI,validation,422,1,83,100,remove the noodles,Idle
3dUm-m3iFaI,validation,422,4,187,193,remove the wontons,Idle
3dUm-m3iFaI,validation,422,6,261,280,pour broth and garnish with chopped green onions and dry garlic,Plate
3meb_5kcPFg,validation,230,1,75,97,roughly chop garlic and peppers and add them to the bowl,Cut
3o2slUH6UmE,training,301,9,221,240,add the kung pao sauce to the vegetables and mix,Mix
3rb_cevHS3c,training,201,5,248,272,put some mozzarella cheese on the chicken,Mix
3rtzSsuJ4Ng,training,101,1,69,74,add olive oil,Mix
3t0DOJgK1vs,training,421,12,141,144,seal the edges of the cone,Cut
45mgcWx16mM,training,208,0,37,51,remove the packed sausage from the plastic and place in a dish,Prep
4JwUCS5JjfY,training,304,0,40,44,place the noodles in hot water,Cook-Heat
4SnAlRlxlFk,validation,421,9,221,244,seal the edges together so a cone is formed,Idle
4TjB1J4QoUQ,training,416,7,258,259,add the garam masala to the dal,Season
4UDMcBe5D3A,training,310,2,109,117,place garnish on ice,Plate
4Zl5NvXPi-0,validation,213,3,70,75,add more gruyere cheese on the ham and apply dijon mustard on the bread,Season
4Zl5NvXPi-0,validation,213,4,75,81,put the ham on the bread and pour some bechamel sauce on the bread,Mix
4apR0YypAGc,validation,324,2,101,110,add some udon noodles to the broth,Plate
4bEtf7u4YtE,validation,119,7,133,146,add some yellow mustard and some ketchup,Season
